id,title_id,name,character,role
17005,191099,Charles Dierkop,Floyd (Bodyguard),ACTOR
26234,191099,Lee Paul,Bodyguard,ACTOR
24841,191099,Sally Kirkland,Crystal,ACTOR
26235,191099,Avon Long,Benny Garfield,ACTOR
26236,191099,Arch Johnson,Combs,ACTOR
26237,191099,Ed Bakey,Granger,ACTOR
26238,191099,Brad Sullivan,Cole,ACTOR
26239,191099,John Quade,Riley,ACTOR
26241,191099,Larry D. Mann,Train Conductor,ACTOR
12936,191099,Leonard Barr,Burlesque House Comedian,ACTOR
173193,191099,Paulene Myers,Alva Coleman,ACTOR
26252,191099,Joe Tornatore,Black Gloved Gunman,ACTOR
26242,191099,Jack Collins,Duke Boudreau,ACTOR
26243,191099,Tom Spratley,Curly Jackson,ACTOR
528136,191099,Kenneth O'Brien,Greer,ACTOR
19500,191099,Ken Sansom,Western Union Executive,ACTOR
26244,191099,Ta-Tanisha,Louise Coleman,ACTOR
26245,191099,William Benedict,Roulette Dealer,ACTOR
26246,191099,Robert Brubaker,Bill Clayton from Pittsburgh (uncredited),ACTOR
5666,191099,Kathleen Freeman,Kid Twist's Wife (uncredited),ACTOR
19486,191099,Susan French,Landlady (uncredited),ACTOR
26247,191099,Bruce Kimball,Lacey the Bouncer (uncredited),ACTOR
12088,191099,Alexander Lockwood,Landlord (uncredited),ACTOR
26248,191099,Chuck Morrell,FBI Agent Chuck (uncredited),ACTOR
26249,191099,Byron Morrow,Mr. Jameson from Chicago (uncredited),ACTOR
26250,191099,Pearl Shear,Lady in Phone Booth (uncredited),ACTOR
7781,191099,Arthur Tovey,Bank Officer (uncredited),ACTOR
26251,191099,Guy Way,Gambling Den Boss (uncredited),ACTOR
1367890,191099,Jim Michael,Bartender (uncredited),ACTOR
17011,191099,George Roy Hill,,DIRECTOR
3180,69975,Sylvester Stallone,"Robert ""Rocky"" Balboa",ACTOR
7748,69975,Talia Shire,"Adrianna ""Adrian"" Balboa",ACTOR
7749,69975,Burt Young,Paulie Pennino,ACTOR
7750,69975,Carl Weathers,Apollo Creed,ACTOR
7751,69975,Burgess Meredith,Mickey Goldmill,ACTOR
7762,69975,Tony Burton,"Tony ""Duke"" Evers",ACTOR
7753,69975,Joe Spinell,Tony Gazzo,ACTOR
17143,69975,Leonard Gaines,Agent,ACTOR
1372001,69975,Butkus Stallone,Butkus (Rocky’s Dog),ACTOR
132355,69975,Sylvia Meals,Mary Anne Creed,ACTOR
16991,69975,Frank McRae,Meat Foreman (uncredited),ACTOR
7756,69975,Al Silvani,Cutman (uncredited),ACTOR
7779,69975,John Pleshette,Director (uncredited),ACTOR
7778,69975,Stu Nahan,Announcer (uncredited),ACTOR
7755,69975,Bill Baldwin,Commentator (uncredited),ACTOR
79211,69975,Jerry Ziesmer,Salesman (uncredited),ACTOR
218853,69975,Paul Micale,Father Carmine (uncredited),ACTOR
1196972,69975,Earl Montgomery,Employment Manager (uncredited),ACTOR
80860,69975,Herb Nanas,Employment Manager (uncredited),ACTOR
51611,69975,Stuart K. Robinson,Johnny (uncredited),ACTOR
7773,69975,Frank Stallone,Singer (uncredited),ACTOR
82791,69975,"Charles ""Honi"" Coles",Singer (uncredited),ACTOR
1372548,69975,Doug Flor,Singer (uncredited),ACTOR
1372564,69975,Robert Kondyra,Singer (uncredited),ACTOR
1372549,69975,James Zazzarino,Singer (uncredited),ACTOR
513786,69975,Eddie 'El Annimal' Lopez,Fighter (uncredited),ACTOR
61400,69975,Taurean Blacque,Lawyer (uncredited),ACTOR
55108,69975,James J. Casino,Chink's Manager (uncredited),ACTOR
1372553,69975,Shaka Cumbuka,Cornerman (uncredited),ACTOR
304976,69975,Roberto Durán,Fighter (uncredited),ACTOR
973957,69975,Lou Fillipo,Referee (uncredited),ACTOR
1372554,69975,Ruth Ann Flynn,Jewelry Sales Lady (uncredited),ACTOR
75925,69975,Grainger Hines,Emergency Room Aide (uncredited),ACTOR
1372560,69975,Garrie Kelly,White Hunter (uncredited),ACTOR
80231,69975,Ava Lazar,White Hunter (uncredited),ACTOR
1372561,69975,Joseph Letizia,Car Salesman (uncredited),ACTOR
60171,69975,René Le Vant,Young Lugger (uncredited),ACTOR
1851121,69975,Tawny Little,Reporter (uncredited),ACTOR
2979,69975,Paul McCrane,Young Patient (uncredited),ACTOR
93989,69975,Sonny Melendrez,Reporter (uncredited),ACTOR
30019,69975,Tony Munafo,Boxer (uncredited),ACTOR
8682,69975,Brent Musburger,Reporter (uncredited),ACTOR
520117,69975,Ed Ness,Timekeeper (uncredited),ACTOR
521302,69975,Fred Pinkard,Lawyer (uncredited),ACTOR
7774,69975,Jane Marla Robbins,Gloria (uncredited),ACTOR
7770,69975,Hank Rolike,Cornerman (uncredited),ACTOR
650355,69975,David L. Ross,Reporter (uncredited),ACTOR
30449,69975,Fran Ryan,Adrian's Nurse (uncredited),ACTOR
1994267,69975,Whitney Rydbeck,Sound Man (uncredited),ACTOR
21245,69975,Shepherd Sanders,Employment Manager (uncredited),ACTOR
512964,69975,Jeff Temkin,Ring Announcer (uncredited),ACTOR
17919,69975,Allan Warnick,Makeup Man (uncredited),ACTOR
3184,69975,Charles Winkler,Camera Assistant (uncredited),ACTOR
1372517,69975,James Zaza,Emergency Room Reporter (uncredited),ACTOR
1135856,69975,Samuel Davis,Apollo's Bodyguard (uncredited),ACTOR
37579,69975,Rutanya Alda,Doctor Cooper (uncredited),ACTOR
1372001,69975,Butkus Stallone,Butkus,ACTOR
3180,69975,Sylvester Stallone,,DIRECTOR
11472,127384,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR
1549,127384,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR
11474,127384,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR
11473,127384,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR
11475,127384,Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,ACTOR
11476,127384,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR
40898,127384,Connie Booth,The Witch,ACTOR
11478,127384,Carol Cleveland,Zoot / Dingo,ACTOR
11482,127384,Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR
40899,127384,Bee Duffell,Old Crone,ACTOR
11481,127384,John Young,Dead Body / Historian Frank,ACTOR
